Surface Fuels Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,1000-hr sound,1000-hr rotten,,,,,,,
Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,,,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
,,|____________________Average Kilograms per Square Meter_______________________|,,,,,,,,,,Avg. Depth (cm),,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FPIPO1D10-32,19Year05,0.02,0.50,0.49,1.01,0.26,1.41,2.68,5.69,0.76,9.13,3.7,2.2,5.8
FPIPO1D10-33,00Pre,0.00,0.20,0.43,0.64,0.97,0.30,1.91,6.00,1.05,8.96,3.9,3.0,6.9
FPIPO1D10-33,03Post,0.01,0.46,0.33,0.81,0.48,1.19,2.48,5.59,0.58,8.66,3.6,1.6,5.2
FPIPO1D10-33,03Year01,0.01,0.46,0.33,0.81,0.48,1.19,2.48,5.59,0.58,8.66,3.6,1.6,5.2
FPIPO1D10-33,03Year02,0.01,0.67,0.17,0.85,0.65,0.89,2.39,13.09,0.59,16.07,8.4,1.7,10.1
FPIPO1D10-33,15Post,0.01,0.36,0.17,0.54,0.03,0.54,1.11,6.79,1.00,8.90,4.4,2.9,7.2
FPIPO1D10-33,15Year02,0.01,0.36,0.17,0.54,0.03,0.54,1.11,6.79,1.00,8.90,4.4,2.9,7.2
FPIPO1D10-33,15Year05,0.00,0.47,0.33,0.80,0.10,0.27,1.18,7.67,0.95,9.80,4.9,2.7,7.6
FPIPO1D10-34,00Pre,0.04,0.33,0.75,1.11,1.08,0.14,2.32,4.12,0.89,7.34,2.7,2.5,5.2
FPIPO1D10-34,10Post,0.02,0.64,0.58,1.23,1.66,1.07,3.96,5.04,1.06,10.07,3.2,3.0,6.3
FPIPO1D10-34,10Year01,0.02,0.64,0.58,1.23,1.66,1.07,3.96,5.04,1.06,10.07,3.2,3.0,6.3
FPIPO1D10-34,10Year02,0.03,0.48,0.74,1.26,1.74,0.71,3.70,3.70,0.44,7.84,2.4,1.2,3.6
FPIPO1D10-34,19Post,0.02,0.17,0.00,0.19,0.03,0.93,1.16,4.41,0.83,6.40,2.8,2.4,5.2
FPIPO1D10-34,19Year02,0.02,0.17,0.00,0.19,0.03,0.93,1.16,4.41,0.83,6.40,2.8,2.4,5.2
FPIPO1D10-34,19Year05,0.03,0.25,0.25,0.53,0.00,0.71,1.23,4.31,0.79,6.33,2.8,2.2,5.0
FPIPO1D10-35,00Pre,0.05,0.33,0.51,0.89,1.93,2.93,5.75,4.30,0.93,10.98,2.8,2.6,5.4
FPIPO1D10-35,03Post,0.06,0.43,0.26,0.75,0.47,2.82,4.04,3.14,0.70,7.88,2.0,2.0,4.0
FPIPO1D10-35,03Year01,0.06,0.43,0.26,0.75,0.47,2.82,4.04,3.14,0.70,7.88,2.0,2.0,4.0
FPIPO1D10-35,03Year05,0.06,0.28,0.34,0.68,0.20,2.95,3.82,3.36,0.77,7.96,2.2,2.2,4.4
FPIPO1D10-36,00Pre,0.01,0.28,0.58,0.86,2.73,0.80,4.39,2.82,1.02,8.23,1.8,2.9,4.7
FPIPO1D10-36,03Post,0.04,0.40,0.66,1.10,2.25,0.92,4.27,3.15,0.83,8.24,2.0,2.3,4.4
FPIPO1D10-36,03Year01,0.04,0.40,0.66,1.10,2.24,0.92,4.26,3.15,0.83,8.24,2.0,2.3,4.4
FPIPO1D10-36,03Year05,0.05,0.26,0.25,0.56,1.56,3.71,5.82,4.43,0.57,10.82,2.9,1.6,4.5
FPIPO1D10-37,00Pre,0.07,0.50,0.81,1.39,2.60,1.10,5.08,5.41,0.97,11.46,3.5,2.8,6.2
FPIPO1D10-37,03Post,0.02,0.47,0.90,1.39,1.19,0.97,3.54,3.36,0.98,7.89,2.2,2.8,4.9
FPIPO1D10-37,03Year01,0.02,0.47,0.90,1.39,1.19,0.97,3.54,3.36,0.98,7.89,2.2,2.8,4.9
FPIPO1D10-37,03Year05,0.06,0.29,0.41,0.75,0.21,2.64,3.60,5.37,1.02,9.99,3.5,2.9,6.3
FPIPO1D10-38,00Pre,0.03,0.12,0.24,0.39,0.64,0.00,1.03,1.83,0.42,3.28,1.2,1.2,2.4
FPIPO1D10-38,03Post,0.02,0.24,0.08,0.34,0.11,0.00,0.45,1.40,0.38,2.24,0.9,1.1,2.0
FPIPO1D10-38,03Year01,0.02,0.24,0.08,0.34,0.11,0.00,0.45,1.40,0.38,2.24,0.9,1.1,2.0
FPIPO1D10-38,03Year02,0.02,0.30,0.08,0.41,0.53,0.39,1.32,1.98,0.61,3.91,1.3,1.7,3.0
FPIPO1D10-39,00Pre,0.05,0.22,0.26,0.52,0.00,0.00,0.52,2.60,0.24,3.37,1.7,0.7,2.4
FPIPO1D10-39,03Post,0.05,0.28,0.08,0.41,0.00,0.00,0.41,2.63,0.39,3.44,1.7,1.1,2.8
FPIPO1D10-39,03Year01,0.05,0.28,0.08,0.41,0.00,0.00,0.41,2.63,0.39,3.44,1.7,1.1,2.8
FPIPO1D10-39,03Year03,0.05,0.26,0.08,0.39,0.00,0.37,0.76,2.06,0.78,3.60,1.3,2.2,3.5
FPIPO1D10-40,00Pre,0.00,0.06,0.08,0.15,4.16,0.86,5.17,3.08,0.44,8.69,2.0,1.3,3.2
FPIPO1D10-40,03Post,0.00,0.11,0.00,0.11,2.29,1.28,3.68,2.07,0.35,6.11,1.3,1.0,2.3
